FCI,slug,nazov,vyska_verejna,hmotnost_verejna,sekcia_verejna,image_url,zistenia,obrazok_http_status,obrazok_content_type
356,dansko-svedsky-farmarsky-pes,Dánsko-švédsky farmársky pes,32–37 cm,,Pinče,/media/articles/2026/339e1016-cc8c-4859-8c0a-6d8057b40431.jpg,chybajuca verejna hmotnost; editorial_complete=0,200,image/jpeg
47,entlebussky-salasnicky-pes,Entlebušský salašnícky pes,42–50 cm,,Švajčiarske salašnícke a pastierske psy,/media/articles/2026/53fd2901-d302-430d-881a-ba6547338e5c.jpg,chybajuca verejna hmotnost; editorial_complete=0,200,image/jpeg
173,estrelsky-horsky-pes,Estrelský horský pes,62–73 cm,35–60 kg,Molosoidné plemená – horský typ,/media/articles/2026/b7b2baac-fd41-4340-aa43-b7b7a9f9e44c.png,editorial_complete=0,200,image/png
225,fila-brasileiro,Fila Brasileiro,60–75 cm,40–50 kg,Molosoidné plemená – mastifový typ,/media/articles/2026/a4a7ba83-1b59-4e4e-98b8-38a6233fb010.jpg,editorial_complete=0,200,image/jpeg
308,holandsky-smoushond,Holandský smoushond,35–42 cm,,Holandské smoushondy,/media/articles/2026/3a924c7b-9287-49c6-98de-abee14dd71cb.png,chybajuca verejna hmotnost; editorial_complete=0,200,image/png
190,hovawart,Hovawart,58–70 cm,,Molosoidné plemená – horský typ,/media/articles/2026/9d9dc5ab-05e7-4126-91a3-d76e48fd01e6.jpg,chybajuca verejna hmotnost; editorial_complete=0,200,image/jpeg
331,kangal,Kangal,65–78 cm,40–60 kg,Molosoidné plemená – horský typ,/media/articles/2026/d89d0923-335c-495a-836b-a8f391f241dc.jpg,editorial_complete=0,200,image/jpeg
328,kaukazsky-ovciak,Kaukazský ovčiak,64–68 cm,45–50 kg,Molosoidné plemená – horský typ,/media/articles/2026/4899a5cf-76fc-45a9-a6ee-061e29bdc03e.jpg,editorial_complete=0,200,image/jpeg
278,krasky-ovciak,Krašský ovčiak,54–63 cm,25–42 kg,Molosoidné plemená – horský typ,/media/articles/2026/80ed011c-36fe-41a4-a4d2-5af173e66bc2.jpg,editorial_complete=0,200,image/jpeg
226,landseer-europsky-kontinentalny-typ,Landseer – európsky kontinentálny typ,67–80 cm,,Molosoidné plemená – horský typ,/media/articles/2026/a3bee7c4-ca84-4f13-a0c1-a87f04a8a44e.png,chybajuca verejna hmotnost; editorial_complete=0,200,image/png
145,leonberger,Leonberger,65–80 cm,,Molosoidné plemená – horský typ,/media/articles/2026/71c232b0-5433-4e59-9ab9-95af70fce060.jpg,chybajuca verejna hmotnost; editorial_complete=0,200,image/jpeg
249,mallorska-doga-ca-de-bou,Mallorská doga (Ca de Bou),52–58 cm,30–38 kg,Molosoidné plemená – mastifový typ,/media/articles/2026/a33821bd-9acb-4b6b-8523-350b502aaf31.jpg,editorial_complete=0,200,image/jpeg
197,neapolsky-mastif,Neapolský mastif,60–75 cm,50–70 kg,Molosoidné plemená – mastifový typ,/media/articles/2026/dd37428f-0651-4684-8cca-4f0f8638e4ae.webp,editorial_complete=0,200,image/webp
235,nemecka-doga,Nemecká doga,72–80 cm,,Molosoidné plemená – mastifový typ,/media/articles/2026/d57c4e33-a491-4cbf-a3ba-0a4e3ae586d1.webp,chybajuca verejna hmotnost; editorial_complete=0,200,image/webp
184,nemecky-pinc,Nemecký pinč,45–50 cm,14–20 kg,Pinče,/media/articles/2026/cad4c6f7-d05a-4180-90b9-c005069b2381.jpg,editorial_complete=0,200,image/jpeg
50,novofundlandsky-pes,Novofundlandský pes,66–71 cm,54–68 kg,Molosoidné plemená – horský typ,/media/articles/2026/11963902-7f27-492b-8414-1add7318abb2.jpg,editorial_complete=0,200,image/jpeg
170,pes-z-castro-laboreiro,Pes z Castro Laboreiro,55–64 cm,25–40 kg,Molosoidné plemená – horský typ,/media/articles/2026/3ebee51a-9d63-489f-bbf4-75f6635a3cbf.png,editorial_complete=0,200,image/png
346,presa-canario,Presa Canario,57–66 cm,40–57 kg,Molosoidné plemená – mastifový typ,/media/articles/2026/47d9af8e-2967-49d5-89da-cac9f58c26e7.jpg,editorial_complete=0,200,image/jpeg
137,pyrenejsky-horsky-pes,Pyrenejský horský pes,65–80 cm,,Molosoidné plemená – horský typ,/media/articles/2026/6dd22628-4264-4f8c-8b2d-6954377c0a5c.png,chybajuca verejna hmotnost; editorial_complete=0,200,image/png
